species,expansion,stability,unfilling,,,,
Abisara_echeria_dynamic_index_w,0.06,0.94,0.01,,,,
Acraea_issoria_dynamic_index_w,0.07,0.93,0.01,,,,
Acraea_terpsicore_dynamic_index_w,0.19,0.81,0.06,,,,
Acytolepis_puspa_dynamic_index_w,0.05,0.95,0.02,,,,
Aglais_caschmirensis_dynamic_index_w,0.01,0.99,0.00,,,,
Amathusia_phidippus_dynamic_index_w,0.22,0.78,0.14,,,,
Ampittia_dioscorides_dynamic_index_w,0.01,0.99,0.02,,,,
Anthene_emolus_dynamic_index_w,0.21,0.79,0.01,,,,
Appias_libythea_dynamic_index_w,0.12,0.88,0.03,,,,
Appias_lyncida_dynamic_index_w,0.14,0.86,0.07,,,,
Argynnis_hyperbius_dynamic_index_w,0.34,0.66,0.03,,,,
Arhopala_centaurus_dynamic_index_w,0.11,0.89,0.03,,,,
Ariadne_ariadne_dynamic_index_w,0.03,0.97,0.01,,,,
Ariadne_merione_dynamic_index_w,0.10,0.90,0.00,,,,
Astictopterus_jama_dynamic_index_w,0.28,0.72,0.16,,,,
Atrophaneura_aidoneus_dynamic_index_w,0.35,0.65,0.09,,,,
Atrophaneura_aristolochiae_dynamic_index_w,0.39,0.61,0.25,,,,
Atrophaneura_varuna_dynamic_index_w,0.44,0.56,0.04,,,,
Badamia_exclamationis_dynamic_index_w,0.14,0.86,0.03,,,,
Belenois_aurota_dynamic_index_w,0.46,0.54,0.03,,,,
Borbo_cinnara_dynamic_index_w,0.06,0.94,0.02,,,,
Caleta_elna_dynamic_index_w,0.09,0.91,0.04,,,,
Castalius_rosimon_dynamic_index_w,0.10,0.90,0.02,,,,
Catochrysops_strabo_dynamic_index_w,0.18,0.82,0.04,,,,
Catopsilia_pomona_dynamic_index_w,0.08,0.92,0.00,,,,
Catopsilia_pyranthe_dynamic_index_w,0.12,0.88,0.01,,,,
Celastrina_lavendularis_dynamic_index_w,0.03,0.97,0.01,,,,
Cepora_nerissa_dynamic_index_w,0.11,0.89,0.01,,,,
Cethosia_cyane_dynamic_index_w,0.29,0.71,0.06,,,,
Charaxes_bernardus_dynamic_index_w,0.08,0.92,0.06,,,,
Cheritra_freja_dynamic_index_w,0.04,0.96,0.01,,,,
Chilasa_clytia_dynamic_index_w,0.26,0.74,0.01,,,,
Cigaritis_lohita_dynamic_index_w,0.14,0.86,0.03,,,,
Cigaritis_vulcanus_dynamic_index_w,0.35,0.65,0.02,,,,
Cupha_erymanthis_dynamic_index_w,0.03,0.97,0.03,,,,
Curetis_acuta_dynamic_index_w,0.37,0.63,0.07,,,,
Cyrestis_thyodamas_dynamic_index_w,0.12,0.88,0.01,,,,
Danaus_chrysippus_dynamic_index_w,0.21,0.79,0.03,,,,
Danaus_genutia_dynamic_index_w,0.10,0.90,0.01,,,,
Danaus_melanippus_dynamic_index_w,0.42,0.58,0.19,,,,
Delias_eucharis_dynamic_index_w,0.12,0.88,0.04,,,,
Delias_hyparete_dynamic_index_w,0.25,0.75,0.12,,,,
Delias_pasithoe_dynamic_index_w,0.02,0.98,0.08,,,,
Deudorix_epijarbas_dynamic_index_w,0.01,0.99,0.01,,,,
Discophora_sondaica_dynamic_index_w,0.14,0.86,0.03,,,,
Doleschallia_bisaltide_dynamic_index_w,0.06,0.94,0.00,,,,
Drupadia_ravindra_dynamic_index_w,0.25,0.75,0.11,,,,
Dryas_iulia_dynamic_index_w,0.88,0.12,0.97,,,,
Elymnias_caudata_dynamic_index_w,0.01,0.99,0.13,,,,
