model,threshold,thr_value,n_presences,n_absences,TPR_mean,TPR_sd,TNR_mean,TNR_sd,SORENSEN_mean,SORENSEN_sd,JACCARD_mean,JACCARD_sd,FPB_mean,FPB_sd,OR_mean,OR_sd,TSS_mean,TSS_sd,AUC_mean,AUC_sd,BOYCE_mean,BOYCE_sd,IMAE_mean,IMAE_sd
max,equal_sens_spec,0.43775408,14,10000,0.96,0.089442719,0.885,0.063607193,0.028412382,0.016488538,0.014468238,0.008567958,0.028936476,0.017135915,0.04,0.089442719,0.845,0.141406771,0.935336667,0.033359137,0.995170684,0.007453893,0.849104223,0.010793275
max,lpt,0.41259936,14,10000,1,0,0.8849,0.063763626,0.029392281,0.016009713,0.014969427,0.008322144,0.029938854,0.016644288,0,0,0.8849,0.063763626,0.935336667,0.033359137,0.995170684,0.007453893,0.849104223,0.010793275
max,max_fpb,0.8269393,14,10000,0.553333333,0.274469185,0.9713,0.023910249,0.085693205,0.093096909,0.046874184,0.054231428,0.093748369,0.108462857,0.446666667,0.274469185,0.524633333,0.272745364,0.935336667,0.033359137,0.995170684,0.007453893,0.849104223,0.010793275
max,max_jaccard,0.8269393,14,10000,0.553333333,0.274469185,0.9713,0.023910249,0.085693205,0.093096909,0.046874184,0.054231428,0.093748369,0.108462857,0.446666667,0.274469185,0.524633333,0.272745364,0.935336667,0.033359137,0.995170684,0.007453893,0.849104223,0.010793275
max,max_sens_spec,0.41259936,14,10000,1,0,0.8849,0.063763626,0.029392281,0.016009713,0.014969427,0.008322144,0.029938854,0.016644288,0,0,0.8849,0.063763626,0.935336667,0.033359137,0.995170684,0.007453893,0.849104223,0.010793275
max,max_sorensen,0.8269393,14,10000,0.553333333,0.274469185,0.9713,0.023910249,0.085693205,0.093096909,0.046874184,0.054231428,0.093748369,0.108462857,0.446666667,0.274469185,0.524633333,0.272745364,0.935336667,0.033359137,0.995170684,0.007453893,0.849104223,0.010793275
max,sensitivity,0.43993647,14,10000,0.526666667,0.313049517,0.8853,0.063758921,0.012187275,0.008158379,0.006144524,0.004119847,0.012289049,0.008239695,0.473333333,0.313049517,0.411966667,0.254368892,0.935336667,0.033359137,0.995170684,0.007453893,0.849104223,0.010793275
max,equal_sens_spec,0.21023106,40,10000,1,0,0.9718,0.016574076,0.260636709,0.117639399,0.153982237,0.076456477,0.307964474,0.152912954,0,0,0.9718,0.016574076,0.991059841,0.006743409,0.980325434,0.00999675,0.977243898,0.00269368
max,lpt,0.17132217,40,10000,1,0,0.9718,0.016574076,0.260636709,0.117639399,0.153982237,0.076456477,0.307964474,0.152912954,0,0,0.9718,0.016574076,0.991059841,0.006743409,0.980325434,0.00999675,0.977243898,0.00269368
max,max_fpb,0.82711843,40,10000,0.613412698,0.169109181,0.9968,0.001604681,0.512311521,0.105273603,0.349423077,0.089411703,0.698846154,0.178823406,0.386587302,0.169109181,0.610212698,0.16834852,0.991059841,0.006743409,0.980325434,0.00999675,0.977243898,0.00269368
max,max_jaccard,0.82711843,40,10000,0.613412698,0.169109181,0.9968,0.001604681,0.512311521,0.105273603,0.349423077,0.089411703,0.698846154,0.178823406,0.386587302,0.169109181,0.610212698,0.16834852,0.991059841,0.006743409,0.980325434,0.00999675,0.977243898,0.00269368
max,max_sens_spec,0.17132217,40,10000,1,0,0.9718,0.016574076,0.260636709,0.117639399,0.153982237,0.076456477,0.307964474,0.152912954,0,0,0.9718,0.016574076,0.991059841,0.006743409,0.980325434,0.00999675,0.977243898,0.00269368
max,max_sorensen,0.82711843,40,10000,0.613412698,0.169109181,0.9968,0.001604681,0.512311521,0.105273603,0.349423077,0.089411703,0.698846154,0.178823406,0.386587302,0.169109181,0.610212698,0.16834852,0.991059841,0.006743409,0.980325434,0.00999675,0.977243898,0.00269368
max,sensitivity,0.37155734,40,10000,0.870873016,0.026399479,0.9723,0.016403506,0.236021606,0.109766187,0.137252219,0.069339079,0.274504437,0.138678157,0.129126984,0.026399479,0.843173016,0.034944053,0.991059841,0.006743409,0.980325434,0.00999675,0.977243898,0.00269368
max,equal_sens_spec,0.3145249,46,10000,0.846580087,0.040434615,0.8626,0.044825216,0.056815653,0.024225846,0.029368218,0.013013718,0.058736436,0.026027436,0.153419913,0.040434615,0.709180087,0.081634642,0.939866797,0.019546797,0.967696924,0.020622293,0.90389138,0.008032653
max,lpt,0.05747439,46,10000,1,0,0.7803,0.099418057,0.043721382,0.010589882,0.022373195,0.005526612,0.044746389,0.011053223,0,0,0.7803,0.099418057,0.939866797,0.019546797,0.967696924,0.020622293,0.90389138,0.008032653
max,max_fpb,0.95386069,46,10000,0.395541126,0.325772231,0.988,0.013752273,0.196332767,0.079513011,0.110626308,0.050329426,0.221252615,0.100658852,0.604458874,0.325772231,0.383541126,0.31230865,0.939866797,0.019546797,0.967696924,0.020622293,0.90389138,0.008032653
max,max_jaccard,0.95386069,46,10000,0.395541126,0.325772231,0.988,0.013752273,0.196332767,0.079513011,0.110626308,0.050329426,0.221252615,0.100658852,0.604458874,0.325772231,0.383541126,0.31230865,0.939866797,0.019546797,0.967696924,0.020622293,0.90389138,0.008032653
max,max_sens_spec,0.25681691,46,10000,0.961818182,0.05238131,0.8543,0.080547036,0.074684443,0.058285177,0.039584632,0.03278039,0.079169264,0.06556078,0.038181818,0.05238131,0.816118182,0.086988972,0.939866797,0.019546797,0.967696924,0.020622293,0.90389138,0.008032653
max,max_sorensen,0.95386069,46,10000,0.395541126,0.325772231,0.988,0.013752273,0.196332767,0.079513011,0.110626308,0.050329426,0.221252615,0.100658852,0.604458874,0.325772231,0.383541126,0.31230865,0.939866797,0.019546797,0.967696924,0.020622293,0.90389138,0.008032653
max,sensitivity,0.25745858,46,10000,0.848398268,0.032039604,0.843,0.107035041,0.066552627,0.055080616,0.035118521,0.030574906,0.070237043,0.061149813,0.151601732,0.032039604,0.691398268,0.08012656,0.939866797,0.019546797,0.967696924,0.020622293,0.90389138,0.008032653
max,equal_sens_spec,0.24179844,46,10000,0.884126984,0.029482818,0.9098,0.032180351,0.097273661,0.07092281,0.052349889,0.041137889,0.104699779,0.082275778,0.115873016,0.029482818,0.793926984,0.054714719,0.967334921,0.012168871,0.952342997,0.014779269,0.953703384,0.006150428
