species,Pioneering,Expansion, Stability,Unfilling ,Abandonment ,sum,Pioneering,Expansion, Stability,Unfilling ,Abandonment 
Abisara_echeria_category_quantity,1.412645736,3.715444456,62.61215229,12.57399562,0.435793524,80.75003163,1.749405799,4.601167803,77.53823872,15.57150551,0.539682171
Acraea_issoria_category_quantity,0.26092394,2.265533164,28.64263789,5.466735975,0.239019681,36.87485065,0.707593212,6.143843633,77.67526481,14.82510676,0.648191591
Acraea_terpsicore_category_quantity,0.733601947,6.018828818,25.67363977,0.946836736,4.103504428,37.4764117,1.95750317,16.06031246,68.50613121,2.526487177,10.94956599
Acytolepis_puspa_category_quantity,2.073835857,3.915991162,76.97140625,18.46593607,2.075974147,103.5031435,2.003645288,3.78345143,74.36624981,17.84094226,2.005711206
Aglais_caschmirensis_category_quantity,0.274248887,0.822101656,65.14589735,31.72563411,0.229589734,98.19747174,0.279283043,0.837192284,66.34172571,32.30799485,0.233804119
Amathusia_phidippus_category_quantity,0.703617631,5.646291118,19.94858061,1.56037176,12.32310439,40.18196551,1.751078182,14.0518042,49.64560682,3.883263898,30.6682469
Ampittia_dioscorides_category_quantity,1.638063087,0.74372662,70.5416716,11.62231797,2.775760498,87.32153978,1.875898079,0.851710382,80.78381552,13.30979504,3.17878098
Anthene_emolus_category_quantity,1.174232541,18.89045187,69.32545842,12.21023293,1.506610367,103.1069861,1.138848671,18.32121428,67.23643181,11.84229448,1.461210752
Appias_libythea_category_quantity,1.535510046,6.160754447,47.05052988,5.973496162,2.706946879,63.42723741,2.420900087,9.713105439,74.18032347,9.417872204,4.267798803
Appias_lyncida_category_quantity,1.122854801,7.877876282,47.24529076,27.12791992,12.00754219,95.38148395,1.177225133,8.259334994,49.53297936,28.44149493,12.58896559
Argynnis_hyperbius_category_quantity,0.076549088,8.853514058,16.82272959,1.17608524,0.963789342,27.89266732,0.27444162,31.74136757,60.31237313,4.216467456,3.455350222
Arhopala_centaurus_category_quantity,1.398527142,8.402105493,71.000334,19.3085101,3.624832469,103.7343092,1.348181863,8.099639895,68.44440817,18.61342718,3.4943429
Ariadne_ariadne_category_quantity,2.15974105,1.876753868,58.29904156,8.517023239,0.67435828,71.526918,3.019480093,2.623842772,81.50643589,11.90743776,0.942803491
Ariadne_merione_category_quantity,0.617831549,4.185023533,35.72184803,5.430508333,0.122380181,46.07759163,1.340850351,9.08255702,77.52542346,11.78557329,0.265595871
Astictopterus_jama_category_quantity,0.000333433,10.07540109,26.18512078,8.448110051,8.634389645,53.343355,0.000625069,18.8878279,49.08787754,15.83723043,16.18643905
Atrophaneura_aidoneus_category_quantity,0,8.871963661,16.71450628,4.739435299,3.631064196,33.95696944,0,26.12707732,49.22260896,13.95717986,10.69313386
Atrophaneura_aristolochiae_category_quantity,0,9.472015258,15.03610902,6.501971738,6.744276447,37.75437246,0,25.08852522,39.82613944,17.22177145,17.86356389
Atrophaneura_varuna_category_quantity,0.042456934,29.70752007,37.07540665,14.61920463,2.814685483,84.25927377,0.05038844,35.2572705,44.00157394,17.35026185,3.340505273
Badamia_exclamationis_category_quantity,1.073967597,11.33751773,67.74044674,40.52916951,3.305512045,123.9866136,0.866196411,9.144146613,54.63529067,32.68834298,2.66602333
Belenois_aurota_category_quantity,0.139426724,6.144680898,7.244127128,0.141038268,0.766791027,14.43606405,0.965822288,42.56479383,50.1807633,0.976985607,5.311634976
Borbo_cinnara_category_quantity,1.638218165,3.527796389,52.34782011,18.82081143,1.063406809,77.3980529,2.116614183,4.557991134,67.63454395,24.31690556,1.373945169
Caleta_elna_category_quantity,1.321025451,6.941415362,67.22218299,20.11345184,4.131840428,99.72991607,1.324602991,6.960213781,67.40423099,20.16792216,4.143030086
Castalius_rosimon_category_quantity,0.760027263,5.088375533,47.36638336,5.661732397,1.24362295,60.1201415,1.264180762,8.463678571,78.78621403,9.417363724,2.068562912
Catochrysops_strabo_category_quantity,0.311313915,6.460128545,28.76237224,2.88031906,2.715249931,41.12938369,0.75691364,15.706845,69.93144477,7.003068856,6.601727737
Catopsilia_pomona_category_quantity,1.160413441,4.257537088,52.286163,8.332956289,0.048295717,66.08536554,1.755931032,6.442480954,79.11912505,12.60938216,0.073080805
Catopsilia_pyranthe_category_quantity,0.577883285,4.825749667,36.34611171,3.511908614,0.450542529,45.71219581,1.26417748,10.55681002,79.51075434,7.682651319,0.985606841
Celastrina_lavendularis_category_quantity,3.216357607,2.991480454,85.1514916,47.35187901,1.077028768,139.7882374,2.300878576,2.140008708,60.91463285,33.8740082,0.77047167
Cepora_nerissa_category_quantity,0.390986185,3.389703983,26.46901672,5.347816358,0.376205741,35.97372899,1.086865877,9.422720631,73.57874056,14.86589383,1.045779105
Cethosia_cyane_category_quantity,0.858086184,15.86721016,38.69716812,6.388398442,4.029128735,65.83999164,1.303290238,24.09965397,58.77456414,9.702915026,6.11957662
Charaxes_bernardus_category_quantity,0.390027678,3.743415549,45.35842109,7.673287893,3.700817557,60.86596977,0.640797607,6.150260258,74.52180794,12.60686049,6.080273708
Cheritra_freja_category_quantity,2.835549983,3.312546312,84.36920371,18.24056495,0.646456801,109.4043218,2.591808018,3.027802064,77.11688383,16.67261828,0.59088781
Chilasa_clytia_category_quantity,1.259557889,22.76847617,63.22571709,11.78955094,1.239534593,100.2828367,1.256005445,22.70426019,63.04739593,11.75629981,1.236038622
Cigaritis_lohita_category_quantity,0.761912458,6.732463096,39.82114567,11.98964997,1.552221538,60.85739273,1.251963687,11.06268736,65.43353877,19.70122188,2.550588299
Cigaritis_vulcanus_category_quantity,0.163764904,7.909211499,14.448726,0.466626631,0.79304261,23.78137164,0.688626823,33.25801227,60.75648712,1.962151881,3.334721907
Cupha_erymanthis_category_quantity,2.453337198,2.971627762,83.97131117,22.38244774,4.914902367,116.6936262,2.102374634,2.546521055,71.95878119,19.18052293,4.211800186
Curetis_acuta_category_quantity,0.016709901,8.990930768,15.03621526,1.3423436,1.983215772,27.3694153,0.06105319,32.85028441,54.93802149,4.904538826,7.246102082
Cyrestis_thyodamas_category_quantity,0.128385202,5.004362752,36.88957615,30.11321578,0.934599541,73.07013943,0.175701323,6.848711103,50.48515911,41.21138404,1.27904442
Danaus_chrysippus_category_quantity,0.328879454,6.676626832,24.96484233,1.822008749,1.428307965,35.22066533,0.933768431,18.95656078,70.88123434,5.173124164,4.055312277
Danaus_genutia_category_quantity,0.973402134,6.387012061,55.37038469,8.916974828,1.080027583,72.7278013,1.338418207,8.782077757,76.13372562,12.26075128,1.485027134
Danaus_melanippus_category_quantity,0.391678203,13.53331093,18.77694527,1.032323732,17.19509855,50.92935669,0.769061752,26.57271132,36.86860878,2.026971867,33.76264628
Delias_eucharis_category_quantity,0.278807709,2.878227305,21.4534728,2.885711911,2.511940655,30.00816038,0.929106301,9.591482012,71.49212924,9.616423914,8.370858537
Delias_hyparete_category_quantity,1.289863011,16.76373907,49.36087404,5.117190297,11.05458185,83.58624827,1.543152178,20.0556185,59.05382173,6.122048068,13.22535953
Delias_pasithoe_category_quantity,0,0.489670646,22.74485748,6.618741735,2.220835716,32.07410558,0,1.526685272,70.91345829,20.6357796,6.92407684
Deudorix_epijarbas_category_quantity,0.726387151,0.650925071,46.43855533,27.25097072,0.543456779,75.61029505,0.960698739,0.860894764,61.41829667,36.04134953,0.718760294
Discophora_sondaica_category_quantity,8.73E-05,5.094598779,32.20690827,14.6218294,1.074056939,52.99748069,0.000164725,9.612907468,60.77064014,27.58966881,2.02661886
Doleschallia_bisaltide_category_quantity,2.606588798,3.518371004,50.63202057,11.62791642,0.118177123,68.50307392,3.80506837,5.136077555,73.91204172,16.97429875,0.172513606
Drupadia_ravindra_category_quantity,0.469014839,6.539752524,19.52907465,0.700125992,7.217367581,34.45533559,1.361225572,18.98037681,56.67939179,2.031981347,20.94702448
Dryas_iulia_category_quantity,0.23781987,18.3473398,2.418250632,0.042969698,15.07316493,36.11954493,0.658424325,50.79615437,6.695130397,0.118965225,41.73132568
Elymnias_caudata_category_quantity,10.72047208,1.54979125,202.9979775,104.3525151,27.56391676,347.1846727,3.087829885,0.446388154,58.46974059,30.05677477,7.9392666
Elymnias_hypermnestra_category_quantity,0.702096574,22.61511392,39.09683022,12.32585162,1.007268491,75.74716083,0.926894905,29.8560549,51.61491176,16.27236122,1.329777222
Eooxylides_tharis_category_quantity,0.00367467,11.94612025,6.30451881,0.053031001,6.007326825,24.31467156,0.015112974,49.13132477,25.92886684,0.218102889,24.70659252
Euchrysops_cnejus_category_quantity,0.368055433,5.118720144,23.67340251,1.164807573,2.154252368,32.47923803,1.133202179,15.75997608,72.8878014,3.586314346,6.632705996
Euploea_core_category_quantity,0.808556339,1.708961597,39.60627445,9.01453407,1.462371213,52.60069767,1.537158963,3.248933327,75.29610101,17.13767016,2.780136534
Euploea_midamus_category_quantity,0,3.185416834,14.52832072,2.576013568,2.594594059,22.88434518,0,13.91963287,63.48584854,11.25666279,11.33785581
Euploea_mulciber_category_quantity,1.63481025,8.552648605,74.42654271,25.93167729,13.42981508,123.9754939,1.318655968,6.898660641,60.03326976,20.91677675,10.83263688
Euploea_radamanthus_category_quantity,1.6297027,3.887683245,68.9734748,9.575983855,3.585410057,87.65225466,1.859282122,4.435348823,78.68990372,10.92497152,4.090493817
Euploea_sylvester_category_quantity,9.629231912,1.363708853,79.41259277,12.79681701,0.092913063,103.2952636,9.322045925,1.32020463,76.87921982,12.38858062,0.089949006
Euploea_tulliolus_category_quantity,0.033741929,13.76446999,66.2347057,39.56895956,18.85495071,138.4568279,0.02437,9.941344316,47.83780382,28.57855417,13.61792769
Eurema_blanda_category_quantity,3.146710671,0.166320823,100.2637266,37.58191148,0.003823772,141.1624933,2.229140756,0.117822248,71.02717175,26.62315647,0.002708773
Eurema_hecabe_category_quantity,0.443906533,6.320086083,35.1430872,4.997667557,0.351460366,47.25620774,0.939361312,13.37408646,74.36713372,10.57568475,0.74373375
Eurema_mandarina_category_quantity,0,5.946213527,0.589797534,0.77518875,9.776553542,17.08775335,0,34.79810016,3.451580333,4.536516498,57.21380301
Euthalia_aconthea_category_quantity,0.431760533,4.081888006,29.68669406,5.200620358,7.654887963,47.05585092,0.917549092,8.674559967,63.08821003,11.05201639,16.26766452
Euthalia_lubentina_category_quantity,0.249929525,3.353209932,37.40567048,11.41020437,3.06826342,55.48727773,0.45042672,6.043204982,67.41305757,20.5636406,5.529670126
Euthalia_monina_category_quantity,1.021932104,12.30664087,42.12955986,13.87781064,29.77847841,99.11442188,1.031062972,12.41659956,42.50598355,14.00180758,30.04454634
Euthalia_phemius_category_quantity,0,8.458613082,5.608749269,3.295178719,3.475616067,20.83815714,0,40.59194403,26.91576435,15.81319642,16.6790952
Everes_lacturnus_category_quantity,1.446967431,6.655512635,47.22191774,4.363172997,11.86894973,71.55652053,2.022132183,9.301056823,65.99247335,6.097519785,16.58681786
Faunis_canens_category_quantity,0.242560546,4.382216601,24.46681244,2.213951564,6.200385597,37.50592675,0.64672591,11.68406431,65.23452308,5.902937898,16.53174881
Faunis_eumeus_category_quantity,7.160864913,27.15665168,79.80342756,11.34870558,0.357188611,125.8268383,5.691047321,21.58255904,63.42321607,9.01930441,0.283873151
Freyeria_putli_category_quantity,0.413752634,3.146547673,23.01667302,1.52904135,0.419704344,28.52571902,1.450454706,11.03056393,80.6874421,5.360220189,1.471319071
Graphium_agamemnon_category_quantity,2.78695701,4.240403597,98.13185484,16.32060044,0.095321244,121.5751371,2.292374145,3.487887159,80.71704228,13.4242912,0.078405212
Graphium_antiphates_category_quantity,1.716564389,2.096672274,64.35978741,15.65007737,0.647260655,84.4703621,2.032149912,2.48213956,76.19215286,18.52729997,0.766257701
Graphium_doson_category_quantity,0.773243098,3.653226755,45.18036871,11.46506731,0.196626772,61.26853265,1.262055846,5.962647704,73.74155502,18.71281523,0.320926197
Graphium_nomius_category_quantity,0.096616033,4.739995131,17.59359697,2.201891377,2.1011645,26.73326401,0.361407544,17.73070108,65.81163064,8.236522768,7.859737962
Graphium_sarpedon_category_quantity,0.136267453,4.485802662,36.09384464,5.090703895,1.72327145,47.5298901,0.286698439,9.437856163,75.93925541,10.71053159,3.625658394
Hasora_badra_category_quantity,0.00127802,9.36042915,46.4444597,48.80129903,5.328601519,109.9360674,0.001162512,8.514429677,42.24679015,44.39061736,4.847000301
Hasora_chromus_category_quantity,0.177165678,4.194668615,18.4092033,1.678296077,1.001481573,25.46081524,0.695836627,16.47499727,72.30406067,6.591682399,3.93342304
Hebomoia_glaucippe_category_quantity,2.190703174,0.478315568,83.17844444,24.40277946,2.409833656,112.6600763,1.944524845,0.42456528,73.83134041,21.66053873,2.139030733
Heliophorus_epicles_category_quantity,0.30941871,13.68825023,24.5149458,12.59771058,0.180074149,51.29039947,0.603268279,26.68774346,47.79636356,24.56153727,0.351087437
Heliophorus_ila_category_quantity,0.03180032,7.283150213,57.16272688,27.48271985,12.25068339,104.2110807,0.030515296,6.988844341,54.85282997,26.37216664,11.75564375
Hestina_assimilis_category_quantity,0,7.253085984,11.49794473,0.362691759,8.265368036,27.37909051,0,26.4913328,41.99534943,1.324703459,30.18861431
Hyarotis_adrastus_category_quantity,0.362970936,14.00193207,21.60711845,7.706478566,6.243161193,49.92166122,0.727081045,28.04780877,43.28205016,15.43714367,12.50591635
Hypolimnas_anomala_category_quantity,0.313384776,6.179879211,32.97845996,3.880509481,13.94758079,57.29981422,0.546921103,10.78516448,57.55421795,6.772289813,24.34140665
Hypolimnas_bolina_category_quantity,1.820962384,3.356883442,73.5560313,10.95540144,0.478287425,90.16756599,2.019531485,3.722938958,81.57703992,12.15004677,0.53044287
Hypolimnas_misippus_category_quantity,0.474333419,4.457099665,24.56651215,2.20989992,1.301519479,33.00936463,1.436966219,13.50253092,74.42285674,6.694766605,3.942879524
Hypolycaena_erylus_category_quantity,2.329940983,8.585272736,62.87083773,12.59023325,10.41313312,96.78941782,2.407226984,8.87005308,64.95631356,13.00786133,10.75854505
Iambrix_salsala_category_quantity,2.822395767,1.029995616,71.6943694,21.14157539,2.092479541,98.78081571,2.857230674,1.04270815,72.57924414,21.40251145,2.11830559
Idea_leuconoe_category_quantity,1.223589506,9.531557284,82.51307803,19.41825759,42.16579159,154.852274,0.790165668,6.155258194,53.2850283,12.5398595,27.22968834
Ideopsis_similis_category_quantity,0.422765155,17.11612966,22.12840945,11.46818158,8.950232255,60.0857181,0.703603399,28.4861864,36.82806855,19.08636851,14.89577314
Ideopsis_vulgaris_category_quantity,0.317721472,6.681366956,11.41462786,0.404090591,15.25518551,34.07299239,0.932473052,19.60898203,33.50051481,1.185955687,44.77207442
Iraota_timoleon_category_quantity,0.34656301,1.343682271,28.81137474,20.73891132,0.096169404,51.33670075,0.675078462,2.617391168,56.12237312,40.39782654,0.187330706
Isoteinon_lamprospilus_category_quantity,0.01778491,15.12945131,40.88388225,26.41524049,17.81734334,100.2637023,0.017738134,15.08965953,40.77635407,26.3457661,17.77048217
